"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.015594482E0,5.308532715E-2,9.721862793E0,1.018798828E0,9.775243489E0
1.020568848E0,1.225280762E-1,9.762557983E0,1.025985718E0,9.817087053E0
1.025543213E0,1.943511963E-1,9.764953613E0,1.004440308E0,9.818400674E0
1.030517578E0,2.015380859E-1,9.793685913E0,9.637298584E-1,9.843052200E0
1.035491943E0,2.541961670E-1,9.774536133E0,9.062805176E-1,9.819751355E0
1.040466308E0,1.871643066E-1,9.764953613E0,8.775482178E-1,9.806092006E0
1.045440674E0,1.392822266E-1,9.731430054E0,8.631744385E-1,9.770629485E0
1.050445557E0,1.320953369E-1,9.743408203E0,9.062805176E-1,9.786357697E0
1.055419922E0,4.351806641E-2,9.719467163E0,9.206390381E-1,9.763068780E0
1.060394287E0,9.379577637E-2,9.714675903E0,8.895111084E-1,9.755765248E0
1.065368652E0,1.249237061E-1,9.760162354E0,8.536071777E-1,9.798215160E0
1.070343017E0,1.799774170E-1,9.752990723E0,8.823394775E-1,9.794475119E0
1.075317383E0,2.398376465E-1,9.796081543E0,8.919067383E-1,9.839524039E0
1.080291748E0,2.494201660E-1,9.755386353E0,9.613494873E-1,9.805812875E0
1.085266113E0,2.230834961E-1,9.731430054E0,9.757080078E-1,9.782765624E0
1.090240478E0,1.991424561E-1,9.712280273E0,9.182434082E-1,9.757623521E0
1.095214844E0,1.656188965E-1,9.650039673E0,8.320617676E-1,9.687260815E0
1.100219726E0,1.488647461E-1,9.640457153E0,8.009338379E-1,9.674816270E0
1.105194092E0,1.967468262E-1,9.633270264E0,8.727569580E-1,9.674725319E0
1.110168457E0,2.925109863E-1,9.690734863E0,9.445800781E-1,9.741054172E0
1.115142822E0,2.637786865E-1,9.733825684E0,9.972534180E-1,9.788332647E0
1.120117187E0,2.326507568E-1,9.693130493E0,9.397888184E-1,9.741360693E0
1.125091553E0,1.680145264E-1,9.645248413E0,9.038848877E-1,9.688965565E0
1.130065918E0,9.379577637E-2,9.614120483E0,9.230346680E-1,9.658783739E0
1.135040283E0,3.153991699E-2,9.590179443E0,1.025985718E0,9.644956362E0
1.140014648E0,9.994506836E-3,9.578201294E0,1.114578247E0,9.642837994E0
1.145019531E0,9.994506836E-3,9.582992554E0,1.126541138E0,9.648986533E0
1.149993896E0,-3.788757324E-2,9.508773804E0,1.131332397E0,9.575913936E0
1.154968262E0,-5.226135254E-2,9.544692993E0,1.148086548E0,9.613636061E0
1.159942627E0,-1.312561035E-1,9.547088623E0,1.164855957E0,9.618784681E0
1.164916992E0,-1.336517334E-1,9.566238403E0,1.236679077E0,9.646769154E0
1.169891357E0,-1.288757324E-1,9.628479004E0,1.203155518E0,9.704215583E0
1.174865723E0,-7.141113281E-2,9.611724854E0,1.193588257E0,9.685814738E0
1.179840088E0,-7.380676270E-2,9.616516113E0,1.210342407E0,9.692665182E0
1.184814453E0,-3.788757324E-2,9.587783813E0,1.263015747E0,9.670689877E0
1.189788818E0,-3.788757324E-2,9.573425293E0,1.346817017E0,9.667772411E0
1.194793701E0,-1.394653320E-2,9.594970703E0,1.358779907E0,9.690714119E0
1.199768066E0,-1.634216309E-2,9.597366333E0,1.231887817E0,9.676117775E0
1.204742432E0,5.068969727E-2,9.580596924E0,1.128936768E0,9.647015346E0
1.209716797E0,5.548095703E-2,9.580596924E0,1.028381348E0,9.635791807E0
1.214691162E0,8.181762695E-2,9.626098633E0,9.493713379E-1,9.673147107E0
1.219665527E0,2.807617188E-3,9.575820923E0,9.326171875E-1,9.621129302E0
1.224639892E0,1.081542969E-1,9.616516113E0,9.278259277E-1,9.661777293E0
1.229614258E0,1.057586670E-1,9.561447144E0,8.320617676E-1,9.598165614E0
1.234588623E0,1.680145264E-1,9.559051514E0,7.410736084E-1,9.589206683E0
1.239562988E0,1.464691162E-1,9.592575073E0,7.051696777E-1,9.619574523E0
1.244567871E0,9.140014648E-2,9.623703003E0,7.315063477E-1,9.651896964E0
1.249542236E0,4.351806641E-2,9.652435303E0,8.009338379E-1,9.685705762E0
1.254516601E0,-4.747009277E-2,9.688339233E0,8.823394775E-1,9.728550430E0
1.259490967E0,-1.634216309E-2,9.690734863E0,1.014022827E0,9.743656991E0
1.264465332E0,4.830932617E-2,9.709884644E0,1.047531128E0,9.766346044E0
1.269439697E0,7.463073730E-2,9.685943604E0,1.083450317E0,9.746637257E0
1.274414062E0,1.273040771E-1,9.676376343E0,1.097808838E0,9.739283839E0
1.279388428E0,2.326507568E-1,9.681152344E0,1.049926758E0,9.740697268E0
1.284362793E0,3.356018066E-1,9.750595093E0,1.011627197E0,9.808675895E0
1.289367676E0,2.685699463E-1,9.748199463E0,9.350128174E-1,9.796620415E0
1.294342041E0,2.206878662E-1,9.767349243E0,8.847351074E-1,9.809820110E0
1.299316406E0,2.302551270E-1,9.779327393E0,8.296661377E-1,9.817158834E0
